teamId,home,gamePk,flyOuts,groundOuts,runsScored,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,catchersInterference,pickoffs,airOutsPitching,groundOutsPitching,runsPitching,doublesPitching,triplesPitching,homeRunsPitching,strikeOutsPitching,baseOnBallsPitching,intentionalWalksPitching,hitsPitching,hitByPitchPitching,atBatsPitching,caughtStealingPitching,stolenBasesPitching,inningsPitched,earnedRuns,battersFaced,outsPitching,hitBatsmen,balks,wildPitches,pickoffsPitching,rbiPitching,inheritedRunners,inheritedRunnersScored,catchersInterferencePitching,sacBuntsPitching,sacFliesPitching,year
108,81,85959020,748,1495,721,249,23,214,1300,514,0,1323,73,5472,22,89,0,0,6149,2260,690,2238,7,39,3,7,0,0,722,0,0,205,1386,546,0,1353,65,5445,0,0,1436.4,662,6125,4312,65,0,0,7,683,0,0,3,14,35,326916
109,81,85960863,693,1545,693,259,50,176,1460,560,0,1283,52,5460,25,79,0,0,6195,2170,658,2267,38,45,2,9,0,0,644,0,0,174,1448,522,0,1313,57,5495,0,0,1460.2,605,6182,4389,57,0,0,8,606,0,0,2,29,34,326916
110,81,85958255,708,1573,622,242,15,188,1412,422,0,1317,57,5507,22,81,0,0,6053,2153,593,2170,13,35,0,8,0,0,892,0,0,234,1203,589,0,1552,67,5625,0,0,1428.2,824,6369,4293,67,0,0,5,840,0,0,0,17,42,326916
111,87,93846403,799,1735,960,380,32,225,1373,628,0,1630,61,6124,34,132,0,0,6918,2749,909,2583,9,51,0,13,0,0,698,0,0,192,1688,569,0,1404,91,6004,0,0,1592.2,657,6733,4778,91,0,0,10,670,0,0,0,10,50,355168
112,83,87095523,633,1655,762,287,34,167,1404,581,0,1459,78,5667,38,68,0,0,6493,2315,723,2520,41,46,6,12,0,0,647,0,0,157,1346,625,0,1330,66,5548,0,0,1486.3,600,6349,4468,66,0,0,18,618,0,0,2,39,36,330952
113,81,85960019,757,1489,696,251,25,172,1376,559,0,1404,65,5532,33,77,0,0,6275,2221,665,2482,49,35,0,14,0,0,819,0,0,228,1258,532,0,1491,50,5605,0,0,1439.6,741,6339,4323,50,0,0,4,791,0,0,1,43,48,326916
114,82,87653463,797,1549,824,298,19,218,1219,560,0,1460,80,5685,36,135,0,0,6432,2450,790,2409,26,45,2,7,0,0,669,0,0,208,1568,421,0,1383,62,5670,0,0,1479.3,631,6226,4447,62,0,0,8,655,0,0,2,17,21,332970
115,82,88784966,669,1676,784,285,43,210,1440,518,0,1443,51,5685,35,96,0,0,6373,2444,752,2319,42,39,0,11,0,0,759,0,0,188,1450,546,0,1411,52,5647,0,0,1489.2,713,6351,4476,52,0,0,13,718,0,0,5,26,47,337006
116,81,85959345,713,1482,630,284,35,135,1341,428,0,1326,52,5494,30,70,0,0,6047,2085,597,2286,15,40,0,13,0,0,796,0,0,216,1215,491,0,1423,60,5505,0,0,1424.4,726,6150,4276,60,0,0,8,767,0,0,1,16,57,326916
117,86,90465730,815,1604,839,294,18,219,1264,604,0,1461,69,5726,29,74,0,0,6498,2448,804,2383,15,45,8,10,0,0,569,0,0,159,1755,461,0,1217,70,5627,0,0,1523.9,536,6211,4578,70,0,0,7,545,0,0,1,13,35,343060
