teamId,home,gamePk,flyOuts,groundOuts,runsScored,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,catchersInterference,pickoffs,airOutsPitching,groundOutsPitching,runsPitching,doublesPitching,triplesPitching,homeRunsPitching,strikeOutsPitching,baseOnBallsPitching,intentionalWalksPitching,hitsPitching,hitByPitchPitching,atBatsPitching,caughtStealingPitching,stolenBasesPitching,inningsPitched,earnedRuns,battersFaced,outsPitching,hitBatsmen,balks,wildPitches,pickoffsPitching,rbiPitching,inheritedRunners,inheritedRunnersScored,catchersInterferencePitching,sacBuntsPitching,sacFliesPitching,year
108,81,91606955,725,1464,769,268,21,220,1276,586,0,1368,67,5542,20,65,0,0,6290,2338,734,2376,4,42,10,7,0,0,868,0,0,267,1404,576,0,1417,82,5575,0,0,1441.5,820,6300,4328,82,0,0,19,832,0,0,1,12,43,327078
109,81,91625502,747,1492,813,288,40,220,1360,540,0,1419,70,5633,14,88,0,0,6352,2447,778,2329,31,40,1,6,0,0,743,0,0,220,1427,516,0,1400,62,5568,0,0,1462.9,691,6268,4395,62,0,0,13,716,0,0,6,39,39,327078
110,81,91622833,678,1454,729,252,25,213,1435,462,0,1379,71,5596,30,84,0,0,6198,2320,698,2263,22,37,1,18,0,0,981,0,0,305,1248,561,0,1544,80,5697,0,0,1439.5,897,6407,4329,80,0,0,5,936,0,0,2,10,46,327078
111,81,91639269,735,1462,901,345,27,245,1382,590,0,1554,49,5770,30,68,0,0,6513,2688,857,2464,20,44,2,8,0,0,828,0,0,215,1633,605,0,1423,76,5660,0,0,1469.6,768,6422,4413,76,0,0,7,791,0,0,2,18,38,327078
112,81,91653397,586,1474,814,270,26,256,1460,581,0,1378,83,5461,24,45,0,0,6229,2468,783,2179,30,39,1,10,0,0,717,0,0,195,1444,534,0,1376,80,5492,0,0,1439.2,657,6206,4326,80,0,0,13,670,0,0,6,29,49,327078
113,81,91655371,694,1354,701,235,27,227,1436,492,0,1328,89,5450,38,80,0,0,6130,2298,679,2167,30,33,6,16,0,0,711,0,0,214,1552,536,0,1270,58,5395,0,0,1435.9,668,6088,4314,58,0,0,3,683,0,0,1,36,31,327078
114,81,91660905,730,1393,769,286,18,223,1332,563,0,1354,50,5425,35,103,0,0,6153,2345,731,2230,40,46,0,9,0,0,657,0,0,207,1508,450,0,1308,62,5449,0,0,1436.5,601,6027,4313,62,0,0,12,630,0,0,0,17,30,327078
115,81,91665005,684,1422,835,323,41,224,1503,489,0,1502,43,5660,31,71,0,0,6315,2579,803,2214,51,43,2,16,0,0,958,0,0,270,1264,589,0,1576,57,5692,0,0,1446.8,895,6456,4346,57,0,0,7,921,0,0,0,42,43,327078
116,81,91109277,715,1282,582,292,41,149,1595,391,0,1333,48,5549,20,57,0,0,6053,2154,556,2285,9,42,0,8,0,0,915,0,0,250,1368,536,0,1555,69,5664,0,0,1429.5,835,6365,4299,69,0,0,11,873,0,0,1,25,46,325059
117,91,102463544,798,1577,991,348,28,313,1320,711,0,1682,68,6229,28,78,0,0,7105,3025,957,2772,11,59,3,11,0,0,712,0,0,258,1852,512,0,1345,44,6069,0,0,1621.0,663,6675,4870,44,0,0,5,691,0,0,4,14,31,363420
118,81,91696130,711,1430,691,281,40,162,1405,456,0,1356,59,5496,39,117,0,0,6100,2203,655,2231,24,42,3,20,0,0,869,0,0,221,1230,582,0,1525,81,5576,0,0,1422.9,824,6332,4275,81,0,0,7,839,0,0,1,18,49,327078
119,84,94676306,770,1378,908,311,20,288,1420,627,0,1452,82,5666,10,62,0,0,6527,2667,882,2380,55,46,0,5,0,0,634,0,0,190,1561,412,0,1238,69,5548,0,0,1489.5,562,6129,4472,69,0,0,6,608,0,0,2,33,39,337173
120,89,101912840,804,1508,951,325,29,250,1462,643,0,1597,86,6078,29,120,0,0,6951,2730,899,2543,57,46,0,11,0,0,785,0,0,225,1685,574,0,1469,65,6069,0,0,1590.7,742,6824,4777,65,0,0,11,755,0,0,1,29,39,361401
121,81,91736354,684,1507,791,280,17,242,1384,516,0,1445,95,5624,27,56,0,0,6324,2485,767,2353,28,27,0,7,0,0,737,0,0,204,1520,500,0,1405,60,5601,0,0,1458.9,688,6272,4383,60,0,0,3,709,0,0,1,35,35,327078
133,82,92303730,773,1376,846,292,23,257,1350,581,0,1392,87,5594,21,49,0,0,6323,2501,801,2338,7,37,0,7,0,0,685,0,0,205,1311,479,0,1349,66,5575,0,0,1470.5,651,6208,4422,66,0,0,14,654,0,0,2,25,42,329097
134,81,91721340,693,1657,758,315,38,163,1213,425,0,1497,63,5657,29,64,0,0,6270,2377,722,2331,47,34,2,13,0,0,911,0,0,241,1443,584,0,1511,85,5648,0,0,1440.0,829,6413,4320,85,0,0,7,868,0,0,4,34,36,327078
135,81,91726176,599,1383,682,224,24,219,1581,504,0,1281,55,5391,37,70,0,0,6039,2210,652,2104,37,31,1,14,0,0,789,0,0,215,1475,463,0,1394,68,5551,0,0,1430.6,732,6179,4296,68,0,0,5,761,0,0,0,43,35,327078
136,81,91729859,704,1270,758,254,28,239,1581,588,0,1305,58,5500,47,115,0,0,6208,2332,730,2277,14,37,2,19,0,0,893,0,0,260,1239,505,0,1484,51,5652,0,0,1437.7,798,6293,4318,51,0,0,6,847,0,0,2,12,46,327078
137,81,91728253,733,1441,678,300,26,167,1435,475,0,1332,50,5579,28,47,0,0,6196,2185,655,2284,24,42,0,9,0,0,773,0,0,227,1368,519,0,1395,65,5597,0,0,1468.3,715,6282,4407,65,0,0,8,741,0,0,1,41,33,327078
138,85,97148885,761,1414,796,265,25,215,1515,584,0,1396,80,5747,30,120,0,0,6518,2356,744,2384,42,41,2,10,0,0,699,0,0,198,1489,572,0,1359,72,5693,0,0,1521.6,639,6455,4569,72,0,0,5,678,0,0,0,30,40,345249
139,83,95355806,691,1471,792,297,29,228,1561,559,0,1472,75,5823,38,95,0,0,6520,2511,753,2494,8,35,0,20,0,0,676,0,0,187,1682,468,0,1322,60,5729,0,0,1524.4,614,6327,4576,60,0,0,7,636,0,0,3,11,29,339192
140,81,91754759,657,1326,810,296,24,223,1578,534,0,1374,67,5540,38,131,0,0,6224,2387,765,2256,17,44,2,12,0,0,878,0,0,241,1379,583,0,1515,70,5629,0,0,1435.9,808,6365,4314,70,0,0,11,839,0,0,3,19,50,327078
141,81,91772128,719,1277,726,270,21,247,1514,509,0,1299,45,5493,20,51,0,0,6103,2352,697,2174,14,28,2,8,0,0,828,0,0,228,1332,604,0,1450,69,5590,0,0,1438.0,767,6338,4321,69,0,0,12,795,0,0,3,11,36,327078
142,82,93586989,790,1342,946,324,23,311,1369,536,0,1569,82,5833,21,29,0,0,6529,2872,913,2367,10,41,3,8,0,0,777,0,0,203,1490,469,0,1485,63,5770,0,0,1488.1,701,6376,4465,63,0,0,11,733,0,0,3,20,41,333135
143,81,91796635,670,1384,774,311,26,215,1453,562,0,1369,57,5571,18,78,0,0,6311,2377,742,2317,34,34,3,2,0,0,794,0,0,258,1392,546,0,1452,71,5571,0,0,1451.8,731,6312,4361,71,0,0,11,758,0,0,0,46,40,327078
144,84,94811335,736,1357,872,287,30,254,1513,635,0,1470,63,5729,30,90,0,0,6536,2579,840,2411,25,36,3,12,0,0,769,0,0,207,1440,564,0,1465,70,5732,0,0,1494.0,698,6476,4489,70,0,0,9,740,0,0,3,41,29,337173
145,80,91231965,590,1376,708,260,20,182,1549,378,0,1443,66,5529,28,63,0,0,6056,2289,676,2296,36,32,1,12,0,0,832,0,0,238,1312,582,0,1438,51,5466,0,0,1410.8,769,6188,4238,51,0,0,5,796,0,0,2,20,38,325059
146,81,91828899,653,1538,615,265,18,146,1469,395,0,1326,73,5512,30,55,0,0,6062,2065,593,2154,31,33,1,8,0,0,808,0,0,236,1378,615,0,1340,90,5473,0,0,1441.3,760,6299,4333,90,0,0,5,775,0,0,1,29,39,327078
147,86,97204429,737,1368,987,303,17,321,1528,608,0,1566,51,5888,22,62,0,0,6613,2866,946,2354,10,34,2,10,0,0,768,0,0,260,1623,545,0,1432,47,5837,0,0,1522.8,717,6490,4574,47,0,0,5,737,0,0,4,7,37,345249
158,81,92420400,683,1357,772,281,17,252,1574,632,0,1373,72,5574,25,101,0,0,6394,2444,747,2450,21,38,8,6,0,0,770,0,0,226,1504,571,0,1369,61,5571,0,0,1466.4,716,6310,4402,61,0,0,4,743,0,0,2,43,34,329097
159,1,567633,4,10,4,2,0,1,7,1,0,8,0,30,0,0,0,0,31,13,3,11,0,0,0,0,0,0,3,0,0,1,16,3,0,5,0,32,0,0,9.0,3,35,27,0,0,0,0,3,0,0,0,0,0,2019
160,0,567633,4,4,3,1,0,1,16,3,0,5,0,32,0,2,0,0,35,9,3,14,0,0,0,0,0,0,4,0,0,1,7,1,0,8,0,30,0,0,8.0,4,31,24,0,0,0,0,3,0,0,0,0,0,2019
