,id,year,team,average_age,avg_runs_allowed,wins,losses,win_loss_percentage,ERA,run_average_9,games_x,complete_game,shutouts,saves,innings_pitched,hits_x,runs_x,earned_runs,home_runs,walks,strikeouts_x,hit_batter,batters_faced,WHIP,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk,average_batter_age,avg_runs_scored,games_y,plate_appearances,at_bats,runs_y,hits_y,doubles,triples,homeruns,RBI,bases_on_balls,strikeouts_y,batting_average,OBP,SLG,OPS,total_bases,GDP,HBP,sacrifice_hits,sacrifice_flies
0,1,2021,LG Twins,26.3,3.9,72,57,0.558,3.57,3.96,143,0,18,32,1264.1,1117,557,501,79,542,1062,97,5416,1.312,8.0,0.6,3.9,7.6,1.96,28.4,4.56,143,5496,4721,652,1185,208,11,109,619,586,919,0.251,0.342,0.369,0.711,1742,102,93,51,45
1,2,2021,KT Wiz,28.4,4.06,75,59,0.56,3.67,4.17,143,2,6,33,1255.0,1166,581,512,85,486,1051,42,5359,1.316,8.4,0.6,3.5,7.5,2.16,29.4,4.97,143,5581,4773,711,1263,217,11,104,666,639,1041,0.265,0.356,0.38,0.736,1814,105,58,68,43
2,3,2021,Doosan Bears,27.5,4.57,70,65,0.519,4.28,4.66,143,2,10,27,1260.1,1288,653,599,104,586,1037,73,5596,1.487,9.2,0.7,4.2,7.4,1.77,29.0,5.13,143,5606,4867,733,1306,234,17,109,693,556,938,0.268,0.35,0.391,0.741,1901,137,86,45,52
3,4,2021,Samsung Lions,28.8,4.57,75,59,0.56,4.29,4.7,143,2,14,46,1250.0,1287,653,596,129,526,1031,51,5496,1.45,9.3,0.9,3.8,7.4,1.96,30.0,4.9,143,5505,4798,701,1280,203,17,130,659,538,893,0.267,0.343,0.398,0.741,1907,98,55,47,67
4,5,2021,NC Dinos,27.7,4.8,67,67,0.5,4.5,4.95,143,3,10,33,1247.2,1256,686,624,122,585,1046,77,5575,1.476,9.1,0.9,4.2,7.5,1.79,29.0,4.87,143,5492,4772,697,1244,202,17,168,665,507,1086,0.261,0.343,0.416,0.759,1984,92,111,59,43
5,6,2021,Kiwoom Heroes,25.8,4.89,69,67,0.507,4.33,5.02,143,1,7,30,1254.1,1276,699,604,100,566,893,80,5568,1.469,9.2,0.7,4.1,6.4,1.58,27.1,5.01,143,5610,4839,716,1250,243,28,90,666,589,1048,0.258,0.347,0.376,0.722,1819,92,93,34,55
6,7,2021,SSG Landers,27.3,5.13,66,63,0.512,4.8,5.2,143,0,5,25,1267.2,1283,733,676,147,623,1006,78,5661,1.504,9.1,1.0,4.4,7.1,1.61,30.9,5.26,143,5698,4864,752,1268,203,13,184,709,634,1045,0.261,0.354,0.421,0.775,2049,104,93,55,52
7,8,2021,Hanwha Eagles,27.0,5.13,49,82,0.374,4.67,5.29,143,1,6,21,1249.2,1200,734,648,114,669,1006,101,5633,1.496,8.6,0.8,4.8,7.2,1.5,25.6,4.17,143,5460,4651,596,1104,211,17,80,551,632,1278,0.237,0.335,0.342,0.676,1589,110,74,54,49
8,9,2021,Kia Tigers,25.3,5.22,58,75,0.436,4.89,5.33,143,1,6,36,1260.0,1274,746,684,133,616,946,104,5658,1.5,9.1,1.0,4.4,6.8,1.54,27.9,3.97,143,5546,4800,567,1193,183,21,65,545,595,914,0.249,0.338,0.336,0.674,1613,118,73,41,37
9,10,2021,Lotte Giants,27.1,5.64,64,71,0.474,5.39,5.75,143,1,12,36,1262.0,1330,806,756,132,653,1047,86,5722,1.571,9.5,0.9,4.7,7.5,1.6,29.0,5.06,143,5689,4978,723,1384,263,10,106,693,576,963,0.278,0.356,0.399,0.755,1985,114,53,37,45
