home,teamId,gamePk,gameDate,gameTimeUTC,flyOuts,groundOuts,runsScored,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,catchersInterference,pickoffs,airOutsPitching,groundOutsPitching,runsPitching,doublesPitching,triplesPitching,homeRunsPitching,strikeOutsPitching,baseOnBallsPitching,intentionalWalksPitching,hitsPitching,hitByPitchPitching,atBatsPitching,caughtStealingPitching,stolenBasesPitching,inningsPitched,earnedRuns,battersFaced,outsPitching,hitBatsmen,balks,wildPitches,pickoffsPitching,rbiPitching,inheritedRunners,inheritedRunnersScored,catchersInterferencePitching,sacBuntsPitching,sacFliesPitching
1,109,529410,2018-03-29,2018-03-30T02:10:00Z,4,9,8,2,1,0,11,6,0,12,0,36,0,2,0,0,42,16,8,28,0,0,0,0,0,0,2,0,0,2,12,2,0,9,0,33,0,0,9.0,2,36,27,0,0,0,0,2,0,0,0,1,0
0,114,529409,2018-03-29,2018-03-30T02:10:00Z,4,9,1,1,0,0,8,2,0,5,2,30,0,2,0,0,36,6,1,12,0,0,1,0,0,0,2,0,0,1,8,1,0,6,0,28,0,0,8.0,2,29,24,0,0,0,0,2,0,0,0,0,0
1,121,529419,2018-03-29,2018-03-29T17:10:00Z,2,10,9,2,0,0,8,9,0,12,1,33,0,1,0,0,44,14,8,24,1,0,0,0,0,0,4,0,0,2,15,1,0,6,0,33,0,0,9.0,4,34,27,0,0,0,0,4,0,0,0,0,0
1,139,529406,2018-03-29,2018-03-29T20:00:00Z,2,6,6,1,1,0,11,7,0,4,0,28,0,0,0,0,35,7,6,11,0,0,0,0,0,0,4,0,0,1,6,2,0,8,0,33,0,0,9.0,4,35,27,0,0,0,0,4,0,0,0,0,0
1,140,529411,2018-03-29,2018-03-29T19:35:00Z,9,4,1,1,0,0,9,2,0,6,1,31,0,0,0,0,34,7,0,12,0,0,0,1,0,0,4,0,0,2,13,6,0,6,0,30,0,0,9.0,4,37,27,0,0,0,0,4,0,0,0,0,1
1,146,529407,2018-03-29,2018-03-29T16:40:00Z,4,13,4,2,1,0,7,6,0,8,1,33,0,0,0,0,40,12,4,21,0,0,0,0,0,0,8,0,0,3,10,5,0,9,3,35,0,0,9.0,7,46,27,3,0,0,0,8,0,0,1,0,0
0,158,529413,2018-03-29,2018-03-29T20:10:00Z,4,19,2,2,0,0,9,2,0,10,1,42,1,1,0,0,45,12,2,14,0,0,0,1,0,0,1,0,0,0,15,6,0,6,0,39,0,0,12.0,1,46,36,0,0,0,0,1,0,0,0,0,0
1,119,529418,2018-03-29,2018-03-29T23:08:00Z,3,11,0,0,0,0,10,5,0,6,0,31,0,2,0,0,36,6,0,16,0,0,0,0,0,0,1,0,0,1,11,2,0,8,0,34,0,0,9.0,1,36,27,0,0,0,0,1,0,0,0,0,0
1,135,529413,2018-03-29,2018-03-29T20:10:00Z,6,12,1,0,0,0,15,6,0,6,0,39,1,1,0,0,46,6,1,18,0,0,0,0,0,0,2,0,0,0,9,2,0,10,1,42,0,0,12.0,2,45,36,1,0,0,1,2,0,0,0,0,0
0,142,529414,2018-03-29,2018-03-29T19:05:00Z,6,11,2,0,0,0,11,3,0,8,0,40,0,2,0,0,43,8,2,17,0,0,0,0,0,0,3,0,0,1,13,5,0,5,0,34,0,0,10.0,3,42,30,0,0,0,0,3,0,0,0,1,0
0,145,529408,2018-03-29,2018-03-29T20:15:00Z,6,8,14,3,0,6,7,7,0,14,1,39,0,0,0,0,47,35,14,12,0,0,0,0,0,0,7,0,0,1,2,2,0,9,1,36,0,0,9.0,6,39,27,1,0,0,0,6,0,0,0,0,0
0,117,529411,2018-03-29,2018-03-29T19:35:00Z,3,9,4,2,0,2,13,6,0,6,0,30,0,0,0,0,37,14,4,13,0,1,0,0,0,0,1,0,0,0,9,2,0,6,1,31,0,0,9.0,1,34,27,1,0,0,1,0,0,0,0,0,0
1,133,529412,2018-03-29,2018-03-29T20:05:00Z,3,9,6,1,1,2,11,5,0,12,0,42,0,0,0,0,48,21,6,17,0,0,0,0,0,0,5,0,0,3,7,1,0,13,0,46,0,0,11.0,5,47,33,0,0,0,0,5,0,0,0,0,0
1,136,529409,2018-03-29,2018-03-30T02:10:00Z,2,13,2,1,0,1,8,1,0,6,0,28,0,0,0,0,29,10,2,8,0,0,0,0,0,0,1,0,0,0,8,2,0,5,2,30,0,0,9.0,1,35,27,2,0,0,0,1,0,0,1,0,0
1,141,529415,2018-03-29,2018-03-29T19:37:00Z,2,9,1,0,0,1,12,3,0,2,0,29,0,1,0,0,32,5,1,6,0,0,0,0,0,0,6,0,0,3,9,2,0,11,0,38,0,0,9.0,5,40,27,0,0,0,0,6,0,0,0,0,0
0,143,529416,2018-03-29,2018-03-29T20:10:00Z,6,6,5,2,0,1,11,6,0,6,1,31,0,1,0,0,38,11,5,12,0,0,0,0,0,0,8,0,0,3,6,4,0,9,1,34,0,0,8.2,7,41,26,1,0,0,0,7,0,0,0,1,0
0,137,529418,2018-03-29,2018-03-29T23:08:00Z,1,10,1,2,0,1,11,2,0,8,0,34,0,0,0,0,36,13,1,15,0,0,0,0,0,0,0,0,0,0,10,5,0,6,0,31,0,0,9.0,0,36,27,0,0,0,0,0,0,0,0,0,0
1,110,529414,2018-03-29,2018-03-29T19:05:00Z,8,9,3,1,1,1,13,5,0,5,0,34,0,1,0,0,42,11,3,16,1,0,0,0,0,0,2,0,0,0,11,3,0,8,0,40,0,0,11.0,2,43,33,0,0,0,0,2,0,0,0,0,0
1,118,529408,2018-03-29,2018-03-29T20:15:00Z,6,13,7,3,0,1,2,2,0,9,1,36,0,0,0,0,39,15,6,9,0,0,0,0,0,0,14,0,0,6,7,7,0,14,1,39,0,0,9.0,14,47,27,1,0,0,0,14,0,0,0,0,0
0,115,529410,2018-03-29,2018-03-30T02:10:00Z,2,11,2,0,0,2,12,2,0,9,0,33,0,0,0,0,36,15,2,14,1,0,0,0,0,0,8,0,0,0,11,6,0,12,0,36,0,0,8.0,8,42,24,0,0,0,0,8,0,0,0,0,0
0,138,529419,2018-03-29,2018-03-29T17:10:00Z,3,5,4,1,0,2,15,1,0,6,0,33,0,0,0,0,34,13,4,5,0,0,0,0,0,0,9,0,0,0,8,9,0,12,1,33,0,0,8.0,8,44,24,1,0,0,0,8,0,0,0,1,0
0,111,529406,2018-03-29,2018-03-29T20:00:00Z,2,11,4,4,0,1,6,2,0,8,0,33,0,0,0,0,35,15,4,9,0,0,0,0,0,0,6,0,0,0,11,7,0,4,0,28,0,0,8.0,6,35,24,0,0,0,0,6,0,0,0,0,0
1,144,529416,2018-03-29,2018-03-29T20:10:00Z,5,12,8,1,0,3,6,4,0,9,1,34,0,0,0,0,41,19,7,12,1,0,0,0,0,0,5,0,0,1,11,6,0,6,1,31,0,0,9.0,5,38,27,1,0,0,0,5,0,0,0,0,0
0,108,529412,2018-03-29,2018-03-29T20:05:00Z,6,11,5,2,1,3,7,1,0,13,0,46,0,0,0,0,47,26,5,12,0,0,0,0,0,0,6,0,0,2,11,5,0,12,0,42,0,0,10.1,6,48,31,0,0,0,0,6,0,0,0,0,0
0,112,529407,2018-03-29,2018-03-29T16:40:00Z,3,6,8,4,0,3,10,5,0,9,3,35,0,1,0,0,47,22,8,18,0,0,1,0,0,0,4,0,0,0,7,6,0,8,1,33,0,0,9.0,3,40,27,1,0,0,0,4,0,0,0,0,0
0,147,529415,2018-03-29,2018-03-29T19:37:00Z,4,9,6,4,0,3,9,2,0,11,0,38,0,0,0,0,40,24,6,15,0,0,0,0,0,0,1,0,0,1,12,3,0,2,0,29,0,0,9.0,1,32,27,0,0,0,0,1,0,0,0,0,0
0,111,529421,2018-03-30,2018-03-30T23:10:00Z,6,9,1,2,0,0,6,2,0,7,0,32,0,0,0,0,34,9,1,10,0,0,0,0,0,0,0,0,0,0,9,1,0,4,0,30,0,0,9.0,0,31,27,0,0,0,0,0,0,0,0,0,0
0,120,529420,2018-03-30,2018-03-30T20:10:00Z,10,8,2,1,0,0,6,4,0,6,0,32,0,1,0,0,37,7,2,18,0,1,0,0,0,0,0,0,0,0,14,2,0,7,0,34,0,0,9.0,0,36,27,0,0,0,0,0,0,0,0,0,0
1,113,529420,2018-03-30,2018-03-30T20:10:00Z,4,7,0,1,0,0,14,2,0,7,0,34,0,1,0,0,36,8,0,13,0,0,0,0,0,0,2,0,0,0,6,4,0,6,0,32,0,0,9.0,2,37,27,0,0,0,0,2,0,0,0,0,1
0,147,529427,2018-03-30,2018-03-30T23:07:00Z,2,14,4,3,1,0,6,4,0,8,0,33,0,0,0,0,37,13,4,16,0,0,0,0,0,0,2,0,0,1,12,1,0,5,0,32,0,0,9.0,2,33,27,0,0,0,0,2,0,0,0,0,0
1,133,529425,2018-03-30,2018-03-31T02:05:00Z,7,8,1,1,0,0,8,1,0,7,2,33,0,0,0,0,36,8,1,17,0,0,0,1,0,0,2,0,0,1,7,0,0,6,0,32,0,0,9.0,2,32,27,0,0,0,0,1,0,0,0,0,0
1,116,529417,2018-03-30,2018-03-30T17:10:00Z,11,9,10,7,0,0,9,9,0,14,0,53,0,0,0,0,62,21,9,35,0,0,0,0,0,0,13,0,0,1,10,4,0,17,0,52,0,0,13.0,11,58,39,0,0,0,0,11,0,0,1,0,1
