season,homeName,wins,losses,winLossRatio,awayName,winProb,lossProb
2018,Arizona Diamondbacks,3720.0,3073.0,0.5784357959041941,,0.547622552627705,0.452377447372295
2018,Atlanta Braves,4101.0,3234.0,0.5462771680093589,,0.5591002044989775,0.4408997955010225
2018,Baltimore Orioles,2213.0,5253.0,0.3173952886816206,,0.2964103937851594,0.7035896062148406
2018,Boston Red Sox,5065.0,2308.0,0.7132856642322959,,0.6869659568696596,0.31303404313034044
2018,Charlotte Knights,0.0,1.0,0.0,,0.0,1.0
2018,Chicago Cubs,4271.0,3049.0,0.5870127056507665,,0.5834699453551913,0.41653005464480874
2018,Chicago White Sox,2531.0,4362.0,0.3771465200364881,,0.3671840998114029,0.6328159001885971
2018,Cincinnati Reds,2696.0,4014.0,0.34738361771336845,,0.40178837555886737,0.5982116244411326
2018,Cleveland Indians,3774.0,3030.0,0.5424010951787203,,0.5546737213403881,0.445326278659612
2018,Colorado Rockies,3890.0,3441.0,0.4967617486998663,,0.5306233801664166,0.4693766198335834
2018,Detroit Tigers,2890.0,3924.0,0.41880349862246735,,0.4241267977692985,0.5758732022307015
2018,El Paso Chihuahuas,0.0,1.0,0.0,,0.0,1.0
2018,Houston Astros,4337.0,2503.0,0.6576270714902079,,0.6340643274853801,0.3659356725146199
2018,Kansas City Royals,2226.0,4628.0,0.35036920516004144,,0.32477385468339653,0.6752261453166034
2018,Los Angeles Angels,3470.0,3339.0,0.5323953929889755,,0.5096196210897341,0.4903803789102658
2018,Los Angeles Dodgers,3594.0,3237.0,0.4964048591551739,,0.5261308739569609,0.4738691260430391
2018,Miami Marlins,2660.0,3954.0,0.43284348678813317,,0.40217719987904443,0.5978228001209556
2018,Milwaukee Brewers,4002.0,2909.0,0.6129915887058116,,0.5790768340327015,0.4209231659672985
2018,Minnesota Twins,3194.0,3671.0,0.48545443903653546,,0.4652585579024035,0.5347414420975966
2018,National League All-Stars,0.0,1.0,0.0,,0.0,1.0
2018,New York Mets,3151.0,3832.0,0.5001442995212289,,0.45123872261205783,0.5487612773879421
2018,New York Yankees,4368.0,2480.0,0.6415440332327649,,0.6378504672897196,0.3621495327102804
2018,Norfolk Tides,0.0,1.0,0.0,,0.0,1.0
2018,Oakland Athletics,3882.0,2968.0,0.5442412027931307,,0.5667153284671533,0.4332846715328467
2018,Omaha Storm Chasers,0.0,0.0,,,,
2018,Philadelphia Phillies,3807.0,3312.0,0.5202914413217782,,0.5347661188369153,0.46523388116308473
2018,Pittsburgh Pirates,3389.0,3360.0,0.5056466749622461,,0.5021484664394725,0.49785153356052747
