gamePk,gameType,season,gameDate,gameTimeUTC,resumeDate,resumedFrom,codedGameState,detailedGameState,isTie,gameNumber,doubleHeader,dayNight,scheduledInnings,gamesInSeries,seriesDescription,homeId,homeName,homeAbbrev,homeWins,homeLosses,homeWinPct,homeWinner,homeScore,awayId,awayName,awayAbbrev,awayWins,awayLosses,awayWinPct,awayWinner,awayScore
533782,E,2018,2018-02-21,2018-02-21T20:10:00Z,,,F,Final,False,1,N,day,7,0.0,Exhibition,109,Arizona Diamondbacks,ARI,1,0,1.0,True,7.0,5035,Arizona State Sun Devils,ASU,0.0,1.0,0.0,False,2.0
534461,E,2018,2018-02-22,2018-02-22T18:05:00Z,,,F,Final,False,1,N,day,9,0.0,Exhibition,116,Detroit Tigers,DET,1,0,1.0,True,6.0,228,Florida Southern College Mocs,FSC,0.0,1.0,0.0,False,1.0
545334,E,2018,2018-02-22,2018-02-22T18:05:00Z,,,F,Final,False,1,N,day,9,0.0,Exhibition,143,Philadelphia Phillies,PHI,1,0,1.0,True,6.0,231,University of Tampa Spartans,UT,0.0,1.0,0.0,False,0.0
547295,E,2018,2018-02-22,2018-02-22T03:33:00Z,,,F,Final,False,2,Y,night,9,0.0,Exhibition,111,Boston Red Sox,BOS,2,0,1.0,True,4.0,227,Boston College Eagles,BC,0.0,1.0,0.0,False,2.0
533784,E,2018,2018-02-22,2018-02-22T23:05:00Z,,,F,Final,False,1,N,night,9,0.0,Exhibition,142,Minnesota Twins,MIN,1,0,1.0,True,2.0,4864,Minnesota Gophers,UM,0.0,1.0,0.0,False,1.0
547296,E,2018,2018-02-22,2018-02-22T18:05:00Z,,,F,Final,False,1,Y,day,9,0.0,Exhibition,111,Boston Red Sox,BOS,1,0,1.0,True,15.0,343,Northeastern University Huskies,NEU,0.0,1.0,0.0,False,2.0
533785,S,2018,2018-02-23,2018-02-23T18:10:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,121,New York Mets,NYM,1,0,1.0,True,6.0,144,Atlanta Braves,ATL,0.0,1.0,0.0,False,2.0
533793,S,2018,2018-02-23,2018-02-23T20:10:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,115,Colorado Rockies,COL,0,1,0.0,False,6.0,109,Arizona Diamondbacks,ARI,1.0,0.0,1.0,True,7.0
533796,S,2018,2018-02-23,2018-02-23T20:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,114,Cleveland Indians,CLE,0,1,0.0,False,4.0,113,Cincinnati Reds,CIN,1.0,0.0,1.0,True,6.0
533790,S,2018,2018-02-23,2018-02-23T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,146,Miami Marlins,MIA,1,0,1.0,True,6.0,138,St. Louis Cardinals,STL,0.0,1.0,0.0,False,4.0
533799,S,2018,2018-02-23,2018-02-23T20:05:00Z,,,F,Final,False,2,N,day,9,1.0,Spring Training,137,San Francisco Giants,SF,0,1,0.0,False,5.0,158,Milwaukee Brewers,MIL,2.0,0.0,1.0,True,6.0
533786,S,2018,2018-02-23,2018-02-23T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,147,New York Yankees,NYY,1,0,1.0,True,3.0,116,Detroit Tigers,DET,0.0,1.0,0.0,False,1.0
533787,S,2018,2018-02-23,2018-02-23T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,111,Boston Red Sox,BOS,1,0,1.0,True,4.0,142,Minnesota Twins,MIN,0.0,1.0,0.0,False,3.0
533791,S,2018,2018-02-23,2018-02-23T18:05:00Z,,,F,Final,False,2,N,day,9,1.0,Spring Training,110,Baltimore Orioles,BAL,0,1,0.0,False,3.0,139,Tampa Bay Rays,TB,2.0,0.0,1.0,True,6.0
533792,S,2018,2018-02-23,2018-02-23T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,117,Houston Astros,HOU,1,0,1.0,True,3.0,120,Washington Nationals,WSH,0.0,1.0,0.0,False,2.0
533795,S,2018,2018-02-23,2018-02-23T20:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,119,Los Angeles Dodgers,LAD,1,0,1.0,True,13.0,145,Chicago White Sox,CWS,0.0,1.0,0.0,False,5.0
533798,S,2018,2018-02-23,2018-02-23T20:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,133,Oakland Athletics,OAK,1,0,1.0,True,9.0,108,Los Angeles Angels,LAA,0.0,1.0,0.0,False,8.0
533794,S,2018,2018-02-23,2018-02-23T20:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,158,Milwaukee Brewers,MIL,1,0,1.0,True,2.0,112,Chicago Cubs,CHC,0.0,1.0,0.0,False,1.0
533788,S,2018,2018-02-23,2018-02-23T18:07:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,141,Toronto Blue Jays,TOR,1,0,1.0,True,2.0,143,Philadelphia Phillies,PHI,0.0,1.0,0.0,False,1.0
533789,S,2018,2018-02-23,2018-02-23T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,139,Tampa Bay Rays,TB,1,0,1.0,True,6.0,134,Pittsburgh Pirates,PIT,0.0,1.0,0.0,False,3.0
533800,S,2018,2018-02-23,2018-02-23T20:10:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,135,San Diego Padres,SD,0,1,0.0,False,2.0,136,Seattle Mariners,SEA,1.0,0.0,1.0,True,3.0
533801,S,2018,2018-02-24,2018-02-24T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,117,Houston Astros,HOU,2,0,1.0,True,6.0,144,Atlanta Braves,ATL,0.0,2.0,0.0,False,1.0
533802,S,2018,2018-02-24,2018-02-24T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,143,Philadelphia Phillies,PHI,1,1,0.5,True,9.0,110,Baltimore Orioles,BAL,0.0,2.0,0.0,False,6.0
533803,S,2018,2018-02-24,2018-02-24T23:05:00Z,,,F,Final,True,2,N,night,9,1.0,Spring Training,110,Baltimore Orioles,BAL,0,2,0.0,False,1.0,142,Minnesota Twins,MIN,0.0,1.0,0.0,False,1.0
533804,S,2018,2018-02-24,2018-02-24T18:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,134,Pittsburgh Pirates,PIT,0,2,0.0,False,1.0,147,New York Yankees,NYY,2.0,0.0,1.0,True,4.0
533805,S,2018,2018-02-24,2018-02-24T18:10:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,121,New York Mets,NYM,1,1,0.5,False,5.0,138,St. Louis Cardinals,STL,1.0,1.0,0.5,True,10.0
533813,S,2018,2018-02-24,2018-02-24T20:10:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,108,Los Angeles Angels,LAA,1,1,0.5,True,6.0,158,Milwaukee Brewers,MIL,2.0,1.0,0.667,False,5.0
533814,S,2018,2018-02-24,2018-02-24T20:05:00Z,,,F,Final,False,1,N,day,9,1.0,Spring Training,133,Oakland Athletics,OAK,2,0,1.0,True,8.0,135,San Diego Padres,SD,0.0,2.0,0.0,False,3.0
